,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,228_store_name,229_store_picture,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,97_number_of_customers_in_store,268_number_fridges,184_store_devices,104_how_many_shelves_does_the_micro_retailer_have,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,2_current_permanent_employees,4_number_permanent_employees_last_year,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,19_tax_id,145_number_direct_competitors,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,214_customer_relationship_tools,33_credit_to_customers,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,172_supplier_frequency,56_procurement_changes_pandemic,157_frequency_organize_shelves,158_charact_organize_products_on_shelves,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,234_willingness_participate_workshop
0,dff2998e-af74-4de6-8efd-488aca24e67b,"November 12, 2022",2022-11-12 22:15:10 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.233822273 19.0535362706),19.0535362706,-98.233822273,Eugene’s Compostura,1 Photo,Tailor,yes,no,no,2.0,0.0,POS system (i.e. computer + bar code scanner + printer),4.0,yes,yes,2021-04-12,2.0,2.0,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,yes,3.0,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Redes sociales,no,Software especializado,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Semestralmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Tamaño",Solicitar tiempo al cliente para conseguir el producto,0,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
1,c596412f-4fc2-4983-acba-d9565859e42f,"November 12, 2022",2022-11-12 22:15:09 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2341421351 19.0535610353),19.0535610353,-98.2341421351,Frutas y verduras Angy,1 Photo,Grocery store (aka. nanostore),no,yes,yes,0.0,4.0,Dataphone (i.e. card payments),8.0,yes,yes,2012-08-12,1.0,1.0,Aumentó 15%,No cambió,yes,No lo hago,No lo hago,no,4.0,no,yes,WhatsApp,"Efectivo,Transferencia interbancaria",Aplicación móvil,no,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,7.2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
2,5bb632b3-41b5-4fb6-a817-b564e8b45a48,"November 12, 2022",2022-11-12 22:15:09 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.232299887 19.058654656),19.058654656,-98.232299887,Libélula ,1 Photo,Grocery store (aka. nanostore),yes,no,no,0.0,0.0,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",24.0,yes,yes,2022-08-12,2.0,2.0,No cambió,No cambió,yes,En Excel,Software especializado + computadora,no,0.0,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Redes sociales,yes,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Perder la venta,10%,7.2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
3,6774a0f6-bab4-4a58-bf94-95ad0b7cb438,"November 12, 2022",2022-11-12 22:15:09 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2331576513 19.0592929035),19.0592929035,-98.2331576513,Quality fix,1 Photo,Grocery store (aka. nanostore),no,no,no,0.0,0.0,POS system (i.e. computer + bar code scanner + printer),2.0,yes,yes,2008-11-12,1.0,1.0,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,yes,4.0,no,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Teléfono,no,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Ofrecer un producto sustituto,0,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
4,6cc637fa-3d54-48c7-9499-6de13d0a26aa,"November 12, 2022",2022-11-12 22:15:08 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2338639604 19.0595846029),19.0595846029,-98.2338639604,Artesanías Los Pinos,1 Photo,Grocery store (aka. nanostore),yes,no,no,0.0,0.0,Smartphone,16.0,yes,yes,2007-10-12,0.0,0.0,No cambió,No cambió,yes,En papel,En papel,yes,0.0,no,yes,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,yes,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,yes,Mensualmente,Venta cruzada (e.g. cereal + leche),"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",0,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
5,2ab862d8-1449-42fe-9de0-63f0fa86e41c,"November 12, 2022",2022-11-12 22:15:07 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2340100497 19.0595598862),19.0595598862,-98.2340100497,La fête,1 Photo,Cafeteria,no,no,yes,0.0,1.0,"Dataphone (i.e. card payments),Security cameras,Smartphone",2.0,yes,yes,2014-11-12,1.0,1.0,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,yes,2.0,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,no,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Diariamente,Precio,Ofrecer un producto sustituto,40%,7.2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
6,eac16b89-1988-491f-a827-60481298aa35,"November 12, 2022",2022-11-12 22:15:06 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.233027074 19.0590374022),19.0590374022,-98.233027074,Yo reparo,1 Photo,Technology Store,yes,yes,no,1.0,0.0,Smartphone,2.0,yes,yes,2021-10-12,2.0,2.0,No cambió,No cambió,no,En Excel,No lo hago,yes,0.0,no,yes,WhatsApp,"Efectivo,Transferencia interbancaria",Redes sociales,yes,Ninguna,no,Ninguno,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,3.0,no,Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,20%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no
7,719cdad7-cf49-4c64-9f1d-004279b71da0,"November 12, 2022",2022-11-12 22:15:06 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2298178552 19.0607069876),19.0607069876,-98.2298178552,Miscenlánea Manolos,1 Photo,Grocery store (aka. nanostore),yes,no,yes,0.0,2.0,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",12.0,yes,yes,2021-08-12,0.0,0.0,Aumentó 50% o más,No cambió,yes,"En Excel,En papel",En papel,no,6.0,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,yes,Software especializado,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Precio","Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",20%,7.2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes
8,b7494ae1-8154-4538-afd2-f9362d561ed1,"November 12, 2022",2022-11-12 22:15:05 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2252770749 19.0594737148),19.0594737148,-98.2252770749,Mundo Ciclista,1 Photo,Retailer store,yes,no,no,0.0,0.0,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",8.0,yes,yes,2020-10-12,1.0,1.0,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,yes,2.0,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,yes,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Solicitar tiempo al cliente para conseguir el producto,20%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes
9,684fc35a-25b7-47b4-be58-bbc8c5bab3fb,"November 12, 2022",2022-11-12 22:15:05 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2242125705 19.0588832074),19.0588832074,-98.2242125705,Copias & Max,1 Photo,Grocery store (aka. nanostore),yes,no,no,0.0,1.0,Smartphone,5.0,yes,yes,2016-11-12,1.0,1.0,Aumentó 25%,No cambió,yes,No lo hago,No lo hago,yes,1.0,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Efectivo,Redes sociales,yes,Ninguna,no,Ninguno,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,3.0,no,Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Solicitar tiempo al cliente para conseguir el producto,0,5.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes
